ID_VIV,ID_HOG,ID_PER,ID_DEL,UPM,VIV_SEL,HOGAR,BPCOD,R_SEL,SEXO,EDAD,AREAM_OCU,BP1_1,BP1_2C,FAC_DEL,FAC_DEL_AM
1361012.13,1361012.13.01,1361012.13.01.04,1361012.13.01.04.05.1,1361012,13,1,5,4,1,19,1,6,15,1194,1194
1505135.05,1505135.05.01,1505135.05.01.01,1505135.05.01.01.06.1,1505135,5,1,6,1,1,49,1,3,15,1444,1444
1505494.04,1505494.04.01,1505494.04.01.08,1505494.04.01.08.08.1,1505494,4,1,8,8,1,27,1,10,15,17497,17497
1506135.01,1506135.01.01,1506135.01.01.01,1506135.01.01.01.05.1,1506135,1,1,5,1,2,53,1,5,15,1693,1693
1507452.04,1507452.04.01,1507452.04.01.03,1507452.04.01.03.05.1,1507452,4,1,5,3,2,40,1,2,15,4594,4594
1504527.03,1504527.03.01,1504527.03.01.02,1504527.03.01.02.09.1,1504527,3,1,9,2,1,42,1,1,15,3065,3065
1507232.03,1507232.03.01,1507232.03.01.02,1507232.03.01.02.05.1,1507232,3,1,5,2,1,21,1,12,15,8006,8006
917729.04,0917729.04.01,0917729.04.01.05,0917729.04.01.05.05.2,917729,4,1,5,5,1,32,1,1,15,2754,2754
901969.03,0901969.03.01,0901969.03.01.01,0901969.03.01.01.01.1,901969,3,1,1,1,1,64,1,7,15,612,612
1504727.02,1504727.02.01,1504727.02.01.01,1504727.02.01.01.02.1,1504727,2,1,2,1,1,63,1,11,15,1506,1506
1105708.02,1105708.02.01,1105708.02.01.03,1105708.02.01.03.08.1,1105708,2,1,8,3,1,35,1,5,15,3897,3897
1504727.01,1504727.01.01,1504727.01.01.03,1504727.01.01.03.01.1,1504727,1,1,1,3,2,32,1,6,15,1506,1506
1504068.01,1504068.01.01,1504068.01.01.04,1504068.01.01.04.13.1,1504068,1,1,13,4,2,20,1,3,15,5158,5158
1528381.01,1528381.01.01,1528381.01.01.03,1528381.01.01.03.06.3,1528381,1,1,6,3,1,27,1,5,15,11254,11254
1528381.04,1528381.04.01,1528381.04.01.01,1528381.04.01.01.06.2,1528381,4,1,6,1,1,51,1,12,15,7034,7034
1528381.01,1528381.01.01,1528381.01.01.03,1528381.01.01.03.06.4,1528381,1,1,6,3,1,27,1,2,15,11254,11254
1513779.04,1513779.04.01,1513779.04.01.01,1513779.04.01.01.05.1,1513779,4,1,5,1,1,39,1,10,15,3528,3528
1504931.05,1504931.05.01,1504931.05.01.01,1504931.05.01.01.05.1,1504931,5,1,5,1,1,51,1,2,15,3913,3913
1507303.01,1507303.01.01,1507303.01.01.02,1507303.01.01.02.05.1,1507303,1,1,5,2,2,45,1,12,15,4417,4417
1500208.03,1500208.03.01,1500208.03.01.03,1500208.03.01.03.05.1,1500208,3,1,5,3,1,55,1,10,15,3667,3667
1505233.02,1505233.02.01,1505233.02.01.01,1505233.02.01.01.05.1,1505233,2,1,5,1,1,69,1,1,15,3791,3791
1505114.05,1505114.05.01,1505114.05.01.05,1505114.05.01.05.04.1,1505114,5,1,4,5,1,22,1,2,15,1767,1767
1506624.03,1506624.03.01,1506624.03.01.03,1506624.03.01.03.05.1,1506624,3,1,5,3,2,20,1,12,15,4877,4877
1507303.05,1507303.05.01,1507303.05.01.01,1507303.05.01.01.02.1,1507303,5,1,2,1,1,38,1,2,15,2209,2209
1507303.04,1507303.04.01,1507303.04.01.02,1507303.04.01.02.05.1,1507303,4,1,5,2,2,47,1,12,15,4417,4417
1505591.05,1505591.05.01,1505591.05.01.01,1505591.05.01.01.02.2,1505591,5,1,2,1,1,54,1,2,15,1748,1748
910907.02,0910907.02.01,0910907.02.01.04,0910907.02.01.04.05.2,910907,2,1,5,4,2,28,1,5,15,3113,3113
1515184.04,1515184.04.01,1515184.04.01.02,1515184.04.01.02.13.1,1515184,4,1,13,2,2,29,1,12,15,2835,2835
1505591.01,1505591.01.01,1505591.01.01.01,1505591.01.01.01.05.1,1505591,1,1,5,1,2,45,1,11,15,1748,1748
915844.05,0915844.05.01,0915844.05.01.01,0915844.05.01.01.02.1,915844,5,1,2,1,1,49,1,6,15,714,714
1528381.01,1528381.01.01,1528381.01.01.03,1528381.01.01.03.06.2,1528381,1,1,6,3,1,27,1,5,15,11254,11254
1500215.02,1500215.02.01,1500215.02.01.03,1500215.02.01.03.05.1,1500215,2,1,5,3,2,28,1,4,15,9236,9236
1505135.02,1505135.02.01,1505135.02.01.01,1505135.02.01.01.04.1,1505135,2,1,4,1,1,53,1,2,15,1444,1444
1160980.18,1160980.18.01,1160980.18.01.03,1160980.18.01.03.01.1,1160980,18,1,1,3,2,31,1,11,15,712,712
1504472.01,1504472.01.01,1504472.01.01.01,1504472.01.01.01.05.1,1504472,1,1,5,1,1,59,1,4,15,2438,2438
1514070.05,1514070.05.01,1514070.05.01.04,1514070.05.01.04.05.1,1514070,5,1,5,4,1,21,1,12,15,6354,6354
1505963.02,1505963.02.01,1505963.02.01.01,1505963.02.01.01.05.1,1505963,2,1,5,1,1,57,1,5,15,3998,3998
1504727.01,1504727.01.01,1504727.01.01.03,1504727.01.01.03.07.1,1504727,1,1,7,3,2,32,1,99,15,4519,4519
1528381.04,1528381.04.01,1528381.04.01.01,1528381.04.01.01.06.1,1528381,4,1,6,1,1,51,1,12,15,7034,7034
1505591.02,1505591.02.01,1505591.02.01.01,1505591.02.01.01.05.1,1505591,2,1,5,1,2,34,1,11,15,1748,1748
1505160.01,1505160.01.01,1505160.01.01.01,1505160.01.01.01.02.1,1505160,1,1,2,1,1,50,1,5,15,1751,1751
1505963.05,1505963.05.01,1505963.05.01.01,1505963.05.01.01.02.2,1505963,5,1,2,1,1,40,1,4,15,1999,1999
1528381.01,1528381.01.01,1528381.01.01.03,1528381.01.01.03.06.1,1528381,1,1,6,3,1,27,1,6,15,11254,11254
1504188.05,1504188.05.01,1504188.05.01.07,1504188.05.01.07.02.1,1504188,5,1,2,7,1,18,1,7,15,1333,1333
1506403.05,1506403.05.01,1506403.05.01.02,1506403.05.01.02.05.1,1506403,5,1,5,2,2,45,1,11,15,2764,2764
1504595.01,1504595.01.01,1504595.01.01.02,1504595.01.01.02.05.1,1504595,1,1,5,2,2,41,1,6,15,2517,2517
917067.01,0917067.01.01,0917067.01.01.01,0917067.01.01.01.10.1,917067,1,1,10,1,2,39,1,12,15,482,482
1507348.02,1507348.02.01,1507348.02.01.03,1507348.02.01.03.06.1,1507348,2,1,6,3,2,21,1,7,15,8268,8268
1513761.03,1513761.03.01,1513761.03.01.02,1513761.03.01.02.08.1,1513761,3,1,8,2,1,34,1,9,15,3102,3102
1505229.04,1505229.04.01,1505229.04.01.01,1505229.04.01.01.05.2,1505229,4,1,5,1,2,35,1,6,15,1499,1499
1504595.02,1504595.02.01,1504595.02.01.02,1504595.02.01.02.01.1,1504595,2,1,1,2,2,39,1,2,15,1259,1259
1505963.01,1505963.01.01,1505963.01.01.01,1505963.01.01.01.06.1,1505963,1,1,6,1,1,78,1,11,15,3998,3998
1505160.03,1505160.03.01,1505160.03.01.03,1505160.03.01.03.02.1,1505160,3,1,2,3,1,34,1,3,15,1751,1751
1504595.04,1504595.04.01,1504595.04.01.04,1504595.04.01.04.07.1,1504595,4,1,7,4,1,27,1,6,15,5034,5034
1506059.02,1506059.02.01,1506059.02.01.02,1506059.02.01.02.05.1,1506059,2,1,5,2,1,22,1,12,15,2765,2765
1504119.05,1504119.05.01,1504119.05.01.02,1504119.05.01.02.02.1,1504119,5,1,2,2,2,69,1,4,15,1666,1666
1506104.01,1506104.01.01,1506104.01.01.01,1506104.01.01.01.02.1,1506104,1,1,2,1,1,67,1,4,15,1671,1671
1507334.01,1507334.01.01,1507334.01.01.03,1507334.01.01.03.02.1,1507334,1,1,2,3,1,29,1,7,15,2036,2036
1507334.05,1507334.05.01,1507334.05.01.01,1507334.05.01.01.02.2,1507334,5,1,2,1,1,49,1,6,15,2036,2036
1500208.03,1500208.03.01,1500208.03.01.03,1500208.03.01.03.05.2,1500208,3,1,5,3,1,55,1,9,15,3667,3667
1505135.01,1505135.01.01,1505135.01.01.02,1505135.01.01.02.03.1,1505135,1,1,3,2,2,49,1,2,15,1444,1444
1301579.02,1301579.02.01,1301579.02.01.04,1301579.02.01.04.05.1,1301579,2,1,5,4,1,29,1,9,15,852,852
1505052.04,1505052.04.01,1505052.04.01.05,1505052.04.01.05.05.2,1505052,4,1,5,5,2,27,1,9,15,7181,7181
1302977.03,1302977.03.01,1302977.03.01.01,1302977.03.01.01.05.1,1302977,3,1,5,1,1,58,1,5,15,1082,1082
1504595.04,1504595.04.01,1504595.04.01.04,1504595.04.01.04.05.1,1504595,4,1,5,4,1,27,1,5,15,5034,5034
909428.02,0909428.02.01,0909428.02.01.02,0909428.02.01.02.05.1,909428,2,1,5,2,2,27,1,1,15,939,939
1505538.02,1505538.02.01,1505538.02.01.02,1505538.02.01.02.07.1,1505538,2,1,7,2,2,40,1,12,15,2746,2746
1302752.2,1302752.20.01,1302752.20.01.04,1302752.20.01.04.05.1,1302752,20,1,5,4,1,39,1,11,15,1146,1146
1505683.01,1505683.01.01,1505683.01.01.01,1505683.01.01.01.05.1,1505683,1,1,5,1,2,28,1,8,15,1365,1365
1505591.05,1505591.05.01,1505591.05.01.01,1505591.05.01.01.02.1,1505591,5,1,2,1,1,54,1,6,15,1748,1748
1506059.03,1506059.03.01,1506059.03.01.03,1506059.03.01.03.05.1,1506059,3,1,5,3,2,31,1,2,15,5530,5530
1504068.03,1504068.03.01,1504068.03.01.02,1504068.03.01.02.02.1,1504068,3,1,2,2,2,53,1,10,15,1290,1290
1506606.04,1506606.04.01,1506606.04.01.03,1506606.04.01.03.05.1,1506606,4,1,5,3,2,25,1,12,15,5321,5321
1507254.05,1507254.05.01,1507254.05.01.02,1507254.05.01.02.05.1,1507254,5,1,5,2,2,37,1,12,15,4869,4869
1507125.01,1507125.01.01,1507125.01.01.02,1507125.01.01.02.05.1,1507125,1,1,5,2,1,28,1,11,15,4290,4290
922143.04,0922143.04.01,0922143.04.01.02,0922143.04.01.02.10.1,922143,4,1,10,2,2,31,1,12,15,1162,1162
1507074.03,1507074.03.01,1507074.03.01.01,1507074.03.01.01.07.1,1507074,3,1,7,1,2,63,1,99,15,1650,1650
1505135.03,1505135.03.01,1505135.03.01.01,1505135.03.01.01.07.1,1505135,3,1,7,1,1,61,1,11,15,7221,7221
1405090.05,1405090.05.01,1405090.05.01.01,1405090.05.01.01.02.1,1405090,5,1,2,1,1,36,1,12,15,785,785
1505640.05,1505640.05.01,1505640.05.01.02,1505640.05.01.02.13.1,1505640,5,1,13,2,2,40,1,7,15,4952,4952
